location,vaccines
Netherlands,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
New Zealand,Pfizer BioNTech
Nicaragua,"Oxford AstraZeneca, Sputnik V"
Niger,Sinopharm Beijing
Nigeria,Oxford AstraZeneca
North Macedonia,Pfizer BioNTech
Northern Cyprus,"Oxford AstraZeneca, Pfizer BioNTech, Sinovac"
Northern Ireland,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Norway,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Oman,"Oxford AstraZeneca, Pfizer BioNTech"
Pakistan,"CanSino, Sinopharm Beijing, Sinovac, Sputnik V"
Palestine,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Panama,"Oxford AstraZeneca, Pfizer BioNTech"
Papua New Guinea,Oxford AstraZeneca
Paraguay,Sputnik V
Peru,"Pfizer BioNTech, Sinopharm Beijing"
Philippines,"Oxford AstraZeneca, Sinovac"
Poland,"Johnson&Johnson, Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Portugal,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Qatar,Pfizer BioNTech
Romania,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Russia,"EpiVacCorona, Sputnik V"
Rwanda,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Saint Helena,Oxford AstraZeneca
Saint Kitts and Nevis,Oxford AstraZeneca
Saint Lucia,Oxford AstraZeneca
Saint Vincent and the Grenadines,Oxford AstraZeneca
San Marino,"Pfizer BioNTech, Sputnik V"
Sao Tome and Principe,Oxford AstraZeneca
Saudi Arabia,"Oxford AstraZeneca, Pfizer BioNTech"
Scotland,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Senegal,Sinopharm Beijing
Serbia,"Oxford AstraZeneca, Pfizer BioNTech, Sinopharm Beijing, Sputnik V"
Seychelles,"Oxford AstraZeneca, Sinopharm Beijing"
Sierra Leone,Oxford AstraZeneca
Singapore,"Moderna, Pfizer BioNTech"
Slovakia,Pfizer BioNTech
Slovenia,"Oxford AstraZeneca, Pfizer BioNTech"
Solomon Islands,Oxford AstraZeneca
Somalia,"Oxford AstraZeneca, Sinopharm Beijing"
South Africa,Johnson&Johnson
South Korea,"Oxford AstraZeneca, Pfizer BioNTech"
South Sudan,Oxford AstraZeneca
Spain,"Johnson&Johnson, Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Sri Lanka,Oxford AstraZeneca
Sudan,Oxford AstraZeneca
Suriname,Oxford AstraZeneca
Sweden,"Oxford AstraZeneca, Pfizer BioNTech"
Switzerland,"Moderna, Pfizer BioNTech"
Syria,Sputnik V
Taiwan,Oxford AstraZeneca
Thailand,"Oxford AstraZeneca, Sinovac"
Timor,Oxford AstraZeneca
Togo,Oxford AstraZeneca
Tonga,Oxford AstraZeneca
Trinidad and Tobago,Oxford AstraZeneca
Tunisia,"Pfizer BioNTech, Sinovac, Sputnik V"
Turkey,"Pfizer BioNTech, Sinovac"
Turks and Caicos Islands,Pfizer BioNTech
Uganda,Oxford AstraZeneca
Ukraine,"Oxford AstraZeneca, Pfizer BioNTech, Sinovac"
United Arab Emirates,"Oxford AstraZeneca, Pfizer BioNTech, Sinopharm Beijing, Sinopharm Wuhan, Sputnik V"
United Kingdom,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
United States,"Johnson&Johnson, Moderna, Pfizer BioNTech"
Uruguay,"Oxford AstraZeneca, Pfizer BioNTech, Sinovac"
Uzbekistan,Oxford AstraZeneca
Venezuela,Sputnik V
Vietnam,Oxford AstraZeneca
Wales,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Zambia,Oxford AstraZeneca
Zimbabwe,Sinopharm Beijing
